Branch_Id,IFSC,Pincode,Branch_name,Manager_name
BSABUF01,BSA10000022,14290,Fountain Plaza,Albert Olson
BSABUF02,BSA10000076,14233,Elmwood,Walter Garcia
BSABUF03,BSA10000091,14255, Military Road,Alfredo Ford
BSABUF04,BSA10000070,14213,South Park,Liam Fleming
BSABUF05,BSA10000081,14268, Fillmore,Leroy James
BSABUF06,BSA10000089,14242,  Bailey Delavan,Zoey Gray
BSABUF07,BSA10000021,14228,North Park,Bradley Ryan
BSABUF08,BSA10000075,14251, Williamsville,Joe Bell
BSABUF09,BSA10000064,14203, West Seneca,Theodore Foster
BSABUF10,BSA10000012,14213, Getzville,Luke Craig
BSABUF11,BSA10000043,14263, Orchard Park,Phyllis Jordan
BSABUF12,BSA10000007,14247, Kenmore,Larry Frazier
BSABUF13,BSA10000018,14278, East Aurora,Rosemary Horton
BSABUF14,BSA10000075,14267, Tonawanada,Ricky Webb
BSABUF15,BSA10000073,14287, Hamburg,Felicia Burke
BSABUF16,BSA10000062,14294,North Tonawanda,Landon Lane
BSABUF17,BSA10000092,14257,Depe,Melanie Pierce
BSABUF18,BSA10000014,14270,Lancaster,Ricardo Hill
BSABUF19,BSA10000037,14222,Brierwood,Rick Gibson
BSABUF20,BSA10000054,14264,Englewood Avenue,Patrick Lambert
BSABUF21,BSA10000029,14233,Geico,Ashley Flores
BSABUF22,BSA10000048,14207,Boulevard,Marjorie Rose
BSABUF23,BSA10000086,14253,Evans,Melissa Holmes
BSABUF24,BSA10000097,14212,Larkin,Harold Mitchelle
BSABUF25,BSA10000006,14214,Black Rock,Jack Williams
